Size,TimeMicros,ArrayType,Threshold
65800,53786,0,0
65900,53771,0,0
66000,50677,0,0
66100,50929,0,0
66200,51880,0,0
66300,50570,0,0
66400,50407,0,0
66500,51331,0,0
66600,52277,0,0
66700,51380,0,0
66800,50478,0,0
66900,52271,0,0
67000,53329,0,0
67100,51479,0,0
67200,51904,0,0
67300,51573,0,0
67400,52129,0,0
67500,51859,0,0
67600,52188,0,0
67700,51643,0,0
67800,52356,0,0
67900,52075,0,0
68000,52788,0,0
68100,52998,0,0
68200,54626,0,0
68300,52899,0,0
68400,53066,0,0
68500,54043,0,0
68600,52184,0,0
68700,52581,0,0
68800,52796,0,0
68900,54047,0,0
69000,52867,0,0
69100,53133,0,0
69200,52680,0,0
69300,53323,0,0
69400,53741,0,0
69500,53992,0,0
69600,54062,0,0
69700,54823,0,0
69800,54188,0,0
69900,54645,0,0
70000,55373,0,0
70100,55035,0,0
70200,54756,0,0
70300,54728,0,0
70400,55637,0,0
70500,55356,0,0
70600,55189,0,0
70700,56238,0,0
70800,56175,0,0
70900,55600,0,0
71000,55663,0,0
71100,56149,0,0
71200,55850,0,0
71300,55652,0,0
71400,56238,0,0
71500,55641,0,0
71600,55824,0,0
71700,56380,0,0
71800,54834,0,0
71900,57128,0,0
72000,55979,0,0
72100,56482,0,0
72200,57179,0,0
72300,57085,0,0
72400,57899,0,0
72500,56214,0,0
72600,56590,0,0
72700,56862,0,0
72800,57348,0,0
72900,55768,0,0
73000,55560,0,0
73100,57035,0,0
73200,55799,0,0
73300,61022,0,0
73400,57072,0,0
73500,56083,0,0
73600,57214,0,0
73700,58236,0,0
73800,56556,0,0
73900,57879,0,0
74000,56959,0,0
74100,57442,0,0
74200,58744,0,0
74300,57211,0,0
74400,57891,0,0
74500,57306,0,0
74600,59177,0,0
74700,58178,0,0
74800,58098,0,0
74900,57963,0,0
75000,57319,0,0
75100,58083,0,0
75200,58237,0,0
75300,62388,0,0
75400,58826,0,0
75500,58936,0,0
75600,60566,0,0
75700,61547,0,0
75800,58511,0,0
75900,58937,0,0
76000,61077,0,0
76100,59060,0,0
76200,60764,0,0
76300,60759,0,0
76400,59331,0,0
76500,58101,0,0
76600,58636,0,0
76700,59694,0,0
76800,60318,0,0
76900,58572,0,0
77000,61890,0,0
77100,60464,0,0
77200,60251,0,0
77300,59379,0,0
77400,67154,0,0
77500,59530,0,0
77600,61695,0,0
77700,64400,0,0
77800,59982,0,0
77900,60195,0,0
78000,61800,0,0
78100,60486,0,0
78200,60662,0,0
78300,61080,0,0
78400,61221,0,0
78500,60726,0,0
78600,61329,0,0
78700,60795,0,0
78800,60924,0,0
78900,61256,0,0
79000,61427,0,0
79100,60608,0,0
79200,60745,0,0
79300,62163,0,0
79400,62266,0,0
79500,62406,0,0
79600,61778,0,0
79700,62692,0,0
79800,63920,0,0
79900,64020,0,0
80000,62098,0,0
80100,64717,0,0
80200,61527,0,0
80300,63495,0,0
80400,63657,0,0
80500,62291,0,0
80600,62744,0,0
80700,62665,0,0
80800,63447,0,0
80900,61973,0,0
81000,63774,0,0
81100,62324,0,0
81200,63657,0,0
81300,63937,0,0
81400,62722,0,0
81500,62301,0,0
81600,68072,0,0
81700,66467,0,0
81800,68204,0,0
81900,65928,0,0
82000,65282,0,0
82100,64593,0,0
82200,65017,0,0
82300,64732,0,0
82400,66539,0,0
82500,66208,0,0
82600,68795,0,0
82700,67790,0,0
82800,65951,0,0
82900,65699,0,0
83000,66272,0,0
83100,65906,0,0
83200,64641,0,0
83300,65992,0,0
83400,64915,0,0
83500,63841,0,0
83600,65801,0,0
83700,65433,0,0
83800,64544,0,0
83900,65946,0,0
84000,65421,0,0
84100,66106,0,0
84200,66578,0,0
84300,66450,0,0
84400,65917,0,0
84500,66985,0,0
84600,67606,0,0
84700,66796,0,0
84800,71214,0,0
84900,70128,0,0
85000,67667,0,0
85100,69342,0,0
85200,68639,0,0
85300,67118,0,0
85400,68595,0,0
85500,67416,0,0
85600,67558,0,0
85700,66830,0,0
85800,66804,0,0
85900,66997,0,0
86000,69325,0,0
86100,65968,0,0
86200,67153,0,0
86300,67985,0,0
86400,68538,0,0
86500,67446,0,0
86600,68202,0,0
86700,67609,0,0
86800,67500,0,0
86900,68280,0,0
87000,68511,0,0
87100,67673,0,0
87200,67615,0,0
87300,67253,0,0
87400,68455,0,0
87500,69676,0,0
87600,68936,0,0
87700,68806,0,0
87800,69442,0,0
87900,68772,0,0
88000,69171,0,0
88100,70690,0,0
88200,68642,0,0
88300,70489,0,0
88400,69094,0,0
88500,69795,0,0
88600,70020,0,0
88700,69027,0,0
88800,70862,0,0
88900,69886,0,0
89000,71022,0,0
89100,68670,0,0
89200,69811,0,0
89300,69634,0,0
89400,71689,0,0
89500,71387,0,0
89600,70374,0,0
89700,71004,0,0
89800,71279,0,0
89900,70551,0,0
90000,70071,0,0
90100,70225,0,0
90200,70214,0,0
90300,70818,0,0
90400,70251,0,0
90500,72793,0,0
90600,71639,0,0
90700,73875,0,0
90800,72655,0,0
90900,71495,0,0
91000,72370,0,0
91100,72133,0,0
91200,72617,0,0
91300,74406,0,0
91400,78771,0,0
91500,74298,0,0
91600,72911,0,0
91700,73091,0,0
91800,73228,0,0
91900,73280,0,0
92000,75288,0,0
92100,73687,0,0
92200,73513,0,0
92300,73998,0,0
92400,74540,0,0
92500,75295,0,0
92600,74423,0,0
92700,73585,0,0
92800,74169,0,0
92900,75094,0,0
93000,75605,0,0
93100,75398,0,0
93200,75083,0,0
93300,75355,0,0
93400,74206,0,0
93500,73782,0,0
93600,73886,0,0
93700,74765,0,0
93800,75691,0,0
93900,77645,0,0
94000,78413,0,0
94100,77022,0,0
94200,76674,0,0
94300,76570,0,0
94400,78709,0,0
94500,77008,0,0
94600,79271,0,0
94700,76969,0,0
94800,77153,0,0
94900,77655,0,0
95000,75894,0,0
95100,75493,0,0
95200,77421,0,0
95300,75621,0,0
95400,75781,0,0
95500,76550,0,0
